Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,GDP_per_capita_PPP,TotalGDP,LogGDPperCapita,Population,LogPopulation
Laos,69.5,71.8,71.8,38.3,3018824.0,34.0,8080.4355,60224641283.7765,3.907434767971368,7453143.0,6.872339453917105
Latvia,76.5,80.7,80.7,67.5,1250246.0,30.0,35604.9,67134676775.4,4.551509770347099,1885546.0,6.275437131969683
Lebanon,78.1,80.0,80.0,86.0,5032693.0,572.0,11599.775,66328476231.325,4.06444956532984,5718083.0,6.757250455005948
Lesotho,58.2,60.9,60.9,32.8,774177.0,78.0,2544.7825,5755015444.62,3.4056506695465067,2261496.0,6.354395823928295
Liberia,62.5,63.8,63.8,55.0,3150252.0,60.0,1539.2089,8095127505.1742,3.187297565874685,5259278.0,6.720926127777705
Libya,73.2,75.3,75.3,77.5,5780434.0,4.0,12641.51,90198918378.38,4.1017989525460585,7135138.0,6.8534023771786154
Lithuania,76.3,80.9,80.9,68.2,1929035.0,45.0,46575.69,130153110890.67001,4.668159297512946,2794443.0,6.44629525546635
Luxembourg,82.5,84.1,84.1,87.2,593272.0,263.0,137947.34,88318439330.22,5.139713330516837,640233.0,5.806338055544667
Macao,83.4,85.5,85.5,97.1,701381.0,136.16265060240963,74177.78,51506305854.14,4.870273831578504,694363.0,5.8415865708609065
Madagascar,64.0,65.8,65.8,40.3,13199949.0,56.0,1599.4127,47488215256.3191,3.2039605401731923,29691033.0,7.472625307680096
Malawi,67.7,71.0,71.0,19.8,4407124.0,236.0,1687.5936,33831556794.604797,3.2272678697022856,20047218.0,7.302054113062053
Malaysia,77.0,79.7,79.7,77.4,27844592.0,110.0,29822.85,1022397888685.95,4.474549144151506,34282367.0,7.535070799819129
Maldives,81.5,83.2,83.2,39.6,209810.0,136.16265060240963,19052.623,9833496940.629,4.279954774027805,516123.0,5.712753212975233
Mali,60.9,62.4,62.4,44.4,11190626.0,21.0,2347.6274,52560060288.483795,3.370629169677522,22388587.0,7.350026685027567
Malta,83.6,85.5,85.5,76.5,417398.0,136.16265060240963,58199.4,30515982399.0,4.76491850736411,524335.0,5.719608848367043
Mauritania,68.9,71.0,71.0,60.3,3206736.0,5.0,5836.566,27635112774.384,3.7661574008975016,4734824.0,6.675303840308794
Mauritius,75.3,78.5,78.5,41.5,526689.0,625.0,22737.572,29094701542.764,4.3567440872954295,1279587.0,6.107069819207518
Mexico,75.4,78.2,78.2,87.9,115925945.0,68.0,21031.709,2684657840824.863,4.322874564132514,127648107.0,8.106014378673757
Moldova,71.5,75.8,75.8,57.7,1729211.0,91.0,15682.07,47418361203.17,4.195403388083277,3023731.0,6.480543152433655
Mongolia,72.2,76.9,76.9,67.2,2362934.0,2.0,14792.251,49400600830.377,4.170034267471703,3339627.0,6.523697963551752
Montenegro,77.4,80.6,80.6,68.7,434519.0,47.0,24509.936,14799221906.480001,4.389342177229919,603805.0,5.780896705016027
Morocco,75.7,78.0,78.0,67.3,25869035.0,86.0,8623.266,318667569330.804,3.9356717828941425,36954394.0,7.567666084855283
Mozambique,64.0,66.9,66.9,41.6,14810679.0,45.0,1457.2354,46205665954.9978,3.1635297128292255,31707757.0,7.5011655212142
Myanmar,67.3,70.6,70.6,34.1,18722491.0,84.0,5178.4473,276462071533.49066,3.7141995608790186,53387059.0,7.727435996991049
Namibia,67.7,71.6,71.6,54.4,1683548.0,4.0,9709.1,27287512931.9,3.9871789741768957,2810509.0,6.448784980358036
Nepal,70.9,72.4,72.4,24.5,7265589.0,207.0,4546.2295,133999946302.00851,3.6576513557329466,29474963.0,7.4694532685964425
Netherlands,82.4,84.0,84.0,88.9,16318658.0,544.0,69323.33,1229138619708.27,4.840879416215704,17730519.0,7.24872144826517
New Zealand,82.4,84.0,84.0,83.6,4388310.0,20.0,48194.043,246158014564.692,4.682993360809177,5107644.0,6.708220619557801
Nicaragua,75.3,77.7,77.7,58.1,4071293.0,58.0,7086.6226,47088396150.748795,3.850439304907455,6644688.0,6.822474593546699
Niger,61.7,62.7,62.7,18.2,5067678.0,22.0,1585.5992,38850510158.32,3.20019341802183,24502100.0,7.389203308010562
Nigeria,54.8,55.1,55.1,54.9,130312056.0,261.0,5491.7,1200097010832.9,3.7397068046202175,218529237.0,8.339509549399498
North Macedonia,77.7,79.8,79.8,69.4,1258951.0,72.0,22371.496,41410959014.264,4.34969502669034,1851059.0,6.267420261522258
Norway,83.6,85.1,85.1,85.9,4830373.0,15.0,89209.14,482445705394.2,4.950409352674451,5408030.0,6.733039092104867
Oman,80.5,82.2,82.2,90.8,4989686.0,18.0,38719.457,174252192454.746,4.587929258151923,4500378.0,6.6532489929797185
Pakistan,67.9,70.5,70.5,34.4,87777053.0,331.0,5367.2734,1285342600405.037,3.7297537180906857,239477758.0,8.379265183611002
Panama,80.0,82.8,82.8,70.7,3229574.0,61.0,30932.764,134413995375.04,4.490418728160822,4345360.0,6.638025762266137
Papua New Guinea,66.4,69.3,69.3,12.6,1351201.0,24.0,3976.9038,39820137236.9262,3.599545085671807,10012849.0,7.000557666783448
Paraguay,74.1,77.2,77.2,68.0,4770669.0,18.0,15406.167,102976823029.70999,4.1876946012225345,6684130.0,6.825044887919979
Peru,78.1,80.5,80.5,80.6,27880400.0,27.0,15282.273,506696674835.685,4.184187953581427,33155845.0,7.5205601006890115
Philippines,70.1,73.1,73.1,49.3,57606092.0,392.0,8857.79,1001824074157.7401,3.9473253798410073,113100906.0,8.053466083875275
Poland,79.0,82.6,82.6,59.2,22598335.0,125.0,41774.582,1589115626474.664,4.62091211299986,38040252.0,7.580243385285538
Portugal,82.7,85.4,85.4,66.5,6926293.0,114.0,38862.09,403812324153.54,4.589526153213311,10390906.0,7.016653416050578
Puerto Rico,82.1,85.5,85.5,0.0,0.0,365.0,40559.7,131947112532.59999,4.608094734076108,3253158.0,6.51230515669156
Qatar,82.7,83.6,83.6,96.6,3010901.0,268.0,116832.57,328876557763.23004,5.067563930100526,2814939.0,6.449468988085967
Romania,76.2,79.8,79.8,55.2,10431178.0,82.0,38071.176,732798373833.24,4.5805962921656285,19248115.0,7.284388204744118
Russia,73.5,79.3,79.3,75.0,108062384.0,9.0,38938.496,5678639058460.032,4.5903791728769985,145836117.0,8.163865092372623
Rwanda,68.2,70.4,70.4,18.3,2659944.0,591.0,2731.09,36474291403.26,3.436336012061864,13355214.0,7.125650851419504
Saint Lucia,73.0,76.6,76.6,19.9,35853.0,295.0,19101.166,3409348018.1740003,4.281059878866041,178489.0,5.251611456378157
Samoa,71.9,74.0,74.0,16.3,35747.0,77.0,6214.017,1328215063.665,3.793372437041919,213745.0,5.329895964346141
Saudi Arabia,79.2,81.5,81.5,92.1,31842626.0,16.0,55768.234,1747125080586.88,4.746386892004587,31328320.0,7.495937106203369
Senegal,69.2,71.3,71.3,52.3,9903731.0,98.0,4173.6772,71874147972.9812,3.620518856880871,17220821.0,7.23605385253402
Serbia,77.1,80.3,80.3,73.6,4923756.0,76.0,23668.523,161783490754.87802,4.37417115725465,6835386.0,6.83476304457123
Seychelles,73.1,76.8,76.8,43.8,58120.0,289.0,29979.828,3686049832.428,4.476829136889006,122951.0,5.089732065345706
Sierra Leone,62.1,63.9,63.9,45.5,4017056.0,122.0,2848.706,23058996001.006,3.4546476302973295,8094551.0,6.908192763697114
Singapore,84.0,86.5,86.5,0.0,0.0,136.16265060240963,131864.1,731349945984.0,5.120126574969747,5546240.0,6.743998658682243
Slovakia,78.7,81.8,81.8,54.0,2955290.0,114.0,38437.492,209204198958.304,4.5847550427297366,5442712.0,6.73581535432076
Slovenia,81.9,84.6,84.6,55.7,1179249.0,105.0,46274.28,97798377066.0,4.665339670116252,2113450.0,6.324991977747741
